央视频道,#genre# 
CCTV-1综合,http://150.138.8.143/00/SNM/CHANNEL00000311/index.m3u8
CCTV-2财经,http://150.138.8.143/00/SNM/CHANNEL00000317/index.m3u8
CCTV-3综艺,http://150.138.8.143/00/SNM/CHANNEL00000359/index.m3u8
CCTV-4中文国际,http://150.138.8.143/00/SNM/CHANNEL00000320/index.m3u8
CCTV-4欧洲,http://150.138.8.143/00/SNM/CHANNEL00000350/index.m3u8
CCTV-4美洲,http://150.138.8.143/00/SNM/CHANNEL00000351/index.m3u8
CCTV-5体育,http://150.138.8.143/00/SNM/CHANNEL00000360/index.m3u8
CCTV-5+体育赛事,http://150.138.8.143/00/SNM/CHANNEL00000316/index.m3u8
CCTV-6电影,http://150.138.8.143/00/SNM/CHANNEL00000361/index.m3u8
CCTV-7国防军事,http://150.138.8.143/00/SNM/CHANNEL00000318/index.m3u8
CCTV-8电视剧,http://150.138.8.143/00/SNM/CHANNEL00000362/index.m3u8
CCTV-9纪录,http://150.138.8.143/00/SNM/CHANNEL00000319/index.m3u8
CCTV-10科教,http://150.138.8.143/00/SNM/CHANNEL00000321/index.m3u8
CCTV-11戏曲,http://150.138.8.143/00/SNM/CHANNEL00000344/index.m3u8
CCTV-12社会与法,http://150.138.8.143/00/SNM/CHANNEL00000322/index.m3u8
CCTV-13新闻,http://150.138.8.143/00/SNM/CHANNEL00000345/index.m3u8
CCTV-14少儿,http://150.138.8.143/00/SNM/CHANNEL00000323/index.m3u8
CCTV-15音乐,http://150.138.8.143/00/SNM/CHANNEL00000346/index.m3u8
CCTV-17农业农村,http://150.138.8.143/00/SNM/CHANNEL00000303/index.m3u8
卫视频道,#genre# 
山东卫视,http://150.138.8.143/00/SNM/CHANNEL10000301/index.m3u8
北京卫视,http://150.138.8.143/00/SNM/CHANNEL00000302/index.m3u8
天津卫视,http://150.138.8.143/00/SNM/CHANNEL00000327/index.m3u8
江苏卫视,http://150.138.8.143/00/SNM/CHANNEL00000304/index.m3u8
浙江卫视,http://150.138.8.143/00/SNM/CHANNEL00000305/index.m3u8
东方卫视,http://150.138.8.143/00/SNM/CHANNEL00000309/index.m3u8
湖南卫视,http://150.138.8.143/00/SNM/CHANNEL00000324/index.m3u8
安徽卫视,http://150.138.8.143/00/SNM/CHANNEL00000328/index.m3u8
重庆卫视,http://150.138.8.143/00/SNM/CHANNEL00000341/index.m3u8
四川卫视,http://150.138.8.143/00/SNM/CHANNEL00000348/index.m3u8
河南卫视,http://150.138.8.143/00/SNM/CHANNEL00000358/index.m3u8
广东卫视,http://150.138.8.143/00/SNM/CHANNEL00000307/index.m3u8
深圳卫视,http://150.138.8.143/00/SNM/CHANNEL00000308/index.m3u8
河北卫视,http://150.138.8.143/00/SNM/CHANNEL00000330/index.m3u8
湖北卫视,http://150.138.8.143/00/SNM/CHANNEL00000325/index.m3u8
黑龙江卫视,http://150.138.8.143/00/SNM/CHANNEL00000306/index.m3u8
吉林卫视,http://150.138.8.143/00/SNM/CHANNEL00000363/index.m3u8
东南卫视,http://150.138.8.143/00/SNM/CHANNEL00000310/index.m3u8
江西卫视,http://150.138.8.143/00/SNM/CHANNEL00000335/index.m3u8
广西卫视,http://150.138.8.143/00/SNM/CHANNEL00000368/index.m3u8
海南卫视,http://150.138.8.143/00/SNM/CHANNEL00000347/index.m3u8
辽宁卫视,http://150.138.8.143/00/SNM/CHANNEL00000326/index.m3u8
甘肃卫视,http://150.138.8.143/00/SNM/CHANNEL00000349/index.m3u8
云南卫视,http://150.138.8.143/00/SNM/CHANNEL00000367/index.m3u8
贵州卫视,http://150.138.8.143/00/SNM/CHANNEL00000329/index.m3u8
青海卫视,http://150.138.8.143/00/SNM/CHANNEL00000366/index.m3u8
中国教育1台,http://150.138.8.143/00/SNM/CHANNEL00000076/index.m3u8
中国教育4台,http://150.138.8.143/00/SNM/CHANNEL00000666/index.m3u8
中国交通,http://150.138.8.143/00/SNM/CHANNEL00000073/index.m3u8
内蒙古卫视,http://150.138.8.143/00/SNM/CHANNEL00000040/index.m3u8
宁夏卫视,http://150.138.8.143/00/SNM/CHANNEL00000043/index.m3u8
山西卫视,http://150.138.8.143/00/SNM/CHANNEL00000032/index.m3u8
陕西卫视,http://150.138.8.143/00/SNM/CHANNEL00000029/index.m3u8
西藏卫视,http://150.138.8.143/00/SNM/CHANNEL00000045/index.m3u8
新疆卫视,http://150.138.8.143/00/SNM/CHANNEL00000044/index.m3u8
兵团卫视,http://150.138.8.143/00/SNM/CHANNEL00000071/index.m3u8
农林卫视,http://150.138.8.143/00/SNM/CHANNEL00000072/index.m3u8
三沙卫视,http://150.138.8.143/00/SNM/CHANNEL00000078/index.m3u8
厦门卫视,http://150.138.8.143/00/SNM/CHANNEL00000075/index.m3u8
省内频道,#genre#
山东齐鲁,http://150.138.8.143/00/SNM/CHANNEL10000313/index.m3u8
山东生活,http://150.138.8.143/00/SNM/CHANNEL00000336/index.m3u8
山东体育,http://150.138.8.143/00/SNM/CHANNEL00000315/index.m3u8
山东新闻,http://150.138.8.143/00/SNM/CHANNEL00000314/index.m3u8
山东文旅,http://150.138.8.143/00/SNM/CHANNEL00000337/index.m3u8
山东综艺,http://150.138.8.143/00/SNM/CHANNEL00000338/index.m3u8
山东农科,http://150.138.8.143/00/SNM/CHANNEL00000339/index.m3u8
山东少儿,http://150.138.8.143/00/SNM/CHANNEL00000340/index.m3u8
山东教育,http://150.138.8.143/00/SNM/CHANNEL00000331/index.m3u8
济南综合,http://150.138.8.143/00/SNM/CHANNEL00000312/index.m3u8
济南教育,http://150.138.8.143/00/SNM/CHANNEL00000069/index.m3u8
济宁综合,http://150.138.8.143/00/SNM/CHANNEL00000240/index.m3u8
济宁生活,http://150.138.8.143/00/SNM/CHANNEL00000239/index.m3u8
济宁公共,http://150.138.8.143/00/SNM/CHANNEL00000241/index.m3u8
嘉祥综合,http://150.138.8.143/00/SNM/CHANNEL00001016/index.m3u8
