央视频道,#genre#
CCTV-1综合,http://221.0.78.198:1681/hls/10201/index.m3u8
CCTV-2财经,http://221.0.78.198:1681/hls/10202/index.m3u8
CCTV-3综艺,http://221.0.78.198:1681/hls/10203/index.m3u8
CCTV-4中文国际,http://221.0.78.198:1681/hls/10204/index.m3u8
CCTV-5体育,http://221.0.78.198:1681/hls/10205/index.m3u8
CCTV-5+体育赛事,http://221.0.78.198:1681/hls/10217/index.m3u8
CCTV-6电影,http://221.0.78.198:1681/hls/10206/index.m3u8
CCTV-7国防军事,http://221.0.78.198:1681/hls/10207/index.m3u8
CCTV-8电视剧,http://221.0.78.198:1681/hls/10208/index.m3u8
CCTV-9纪录,http://221.0.78.198:1681/hls/10209/index.m3u8
CCTV-10科教,http://221.0.78.198:1681/hls/10210/index.m3u8
CCTV-11戏曲,http://221.0.78.198:1681/hls/10211/index.m3u8
CCTV-12社会与法,http://221.0.78.198:1681/hls/10212/index.m3u8
CCTV-13新闻,http://221.0.78.198:1681/hls/10213/index.m3u8
CCTV-14少儿,http://221.0.78.198:1681/hls/10214/index.m3u8
CCTV-15音乐,http://221.0.78.198:1681/hls/10215/index.m3u8
CCTV-17农村农业,http://221.0.78.198:1681/hls/10289/index.m3u8
CCTV-1综合,http://221.2.36.34:8888/newlive/live/hls/2/live.m3u8
CCTV-2财经,http://221.2.36.34:8888/newlive/live/hls/3/live.m3u8
CCTV-4中文国际,http://221.2.36.34:8888/newlive/live/hls/5/live.m3u8
CCTV-5+体育赛事,http://221.2.36.34:8888/newlive/live/hls/7/live.m3u8
CCTV-7国防军事,http://221.2.36.34:8888/newlive/live/hls/9/live.m3u8
CCTV-9纪录,http://221.2.36.34:8888/newlive/live/hls/11/live.m3u8
CCTV-10科教,http://221.2.36.34:8888/newlive/live/hls/12/live.m3u8
CCTV-11戏曲,http://221.2.36.34:8888/newlive/live/hls/13/live.m3u8
CCTV-12社会与法,http://221.2.36.34:8888/newlive/live/hls/14/live.m3u8
CCTV-13新闻,http://221.2.36.34:8888/newlive/live/hls/15/live.m3u8
CCTV-14少儿,http://221.2.36.34:8888/newlive/live/hls/16/live.m3u8
CCTV-15音乐,http://221.2.36.34:8888/newlive/live/hls/17/live.m3u8
CCTV-9纪录,http://221.2.36.34:8888/newlive/live/hls/11/live.m3u8
CCTV-10科教,http://221.2.36.34:8888/newlive/live/hls/12/live.m3u8
CCTV-11戏曲,http://221.2.36.34:8888/newlive/live/hls/13/live.m3u8
CCTV-12社会与法,http://221.2.36.34:8888/newlive/live/hls/14/live.m3u8
CCTV-13新闻,http://221.2.36.34:8888/newlive/live/hls/15/live.m3u8
CCTV-14少儿,http://221.2.36.34:8888/newlive/live/hls/16/live.m3u8
CCTV-15音乐,http://221.2.36.34:8888/newlive/live/hls/17/live.m3u8
卫视频道,#genre#
